店舗id,店舗名,商品コード,商品名 ,税率 ,賞味期限 ,容量 ,原単価 ,売単価 ,在庫数,原価金額,売価金額 
"2","新百合山手通り店","4526017082182","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰPK","10.00","","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰPK","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017082199","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰBL","10.00","","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰBL","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017082205","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰYE","10.00","","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰYE","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017082212","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰGR","10.00","","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰGR","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017082229","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰOR","10.00","","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰOR","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017082236","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰBK","10.00","","ﾄﾞｺﾃﾞﾓｼﾞｮｷﾝﾎﾞﾄﾙﾎﾙﾀﾞｰBK","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017082571","ｼﾞｬﾊﾞﾗﾎﾟｰﾁﾕﾆｺｰﾝ","10.00","","ｼﾞｬﾊﾞﾗﾎﾟｰﾁﾕﾆｺｰﾝ","1215.00","2700.00","1.00","1215.0000","2700.0000"
"2","新百合山手通り店","4526017082588","ｼﾞｬﾊﾞﾗﾎﾟｰﾁﾍﾞｱｰ","10.00","","ｼﾞｬﾊﾞﾗﾎﾟｰﾁﾍﾞｱｰ","1215.00","2700.00","1.00","1215.0000","2700.0000"
"2","新百合山手通り店","4526017082595","ｼﾞｬﾊﾞﾗﾎﾟｰﾁﾀﾞｲﾅｿｰ","10.00","","ｼﾞｬﾊﾞﾗﾎﾟｰﾁﾀﾞｲﾅｿｰ","1215.00","2700.00","1.00","1215.0000","2700.0000"
"2","新百合山手通り店","4530503024525","Ｃ１０００ビタミンレモン","8.00","","1A","75.00","108.00","1.00","75.0000","108.0000"
