仕入日,店舗,仕入先コード,仕入先,部門コード,部門,商品コード,商品,税率,仕入数量,仕入単価,仕入金額,売単価,売価金額,粗利金額,粗利率
"2022/06/01","552　住之江店","0917","愛国東店","90","湧永製品","4968250260116","レオピンロイヤル　６０ｍｌ","10.00","-6.00","4452.00","-26712","9680","-58080","-31368","54.01"
"2022/06/01","552　住之江店","0917","愛国東店","90","湧永製品","4968250260123","レオピンロイヤル　１２０ｍｌ","10.00","-3.00","8095.00","-24285","17600","-52800","-28515","54.01"
"2022/06/01","552　住之江店","0917","愛国東店","90","湧永製品","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","10.00","-6.00","2891.00","-17346","6600","-39600","-22254","56.2"
"2022/06/01","552　住之江店","0963","ミラドラ薬局","01","食品","4987596250018","ｸﾛﾚﾗ 　バイオリンク 1000","8.00","-2.00","5060.00","-10120","9936","-19872","-9752","49.07"
"2022/06/01","552　住之江店","0963","ミラドラ薬局","03","ＯＴＣ医薬品類","4954177100703","ササヘルス　１２７ｍｌ×１２本","10.00","-2.00","8500.00","-17000","18700","-37400","-20400","54.55"
"2022/06/01","552　住之江店","0963","ミラドラ薬局","03","ＯＴＣ医薬品類","4987474122321","ｼﾞｮｯｷ450  錠","10.00","-1.00","4770.00","-4770","11880","-11880","-7110","59.85"
"2022/06/01","601　上市店","0114","伊藤園","01","食品","4901085002605","伊藤園　お～いお茶濃い茶　５２５ｍｌ","8.00","24.00","75.00","1800","89","2136","336","15.73"
"2022/06/01","601　上市店","0114","伊藤園","01","食品","4901085195499","そば茶５００ｍｌ","8.00","24.00","75.00","1800","88","2112","312","14.77"
"2022/06/01","631　パスコ店","0699","材料転用","03","ＯＴＣ医薬品類","4987014016608","新バイトゴールド3000　10本入","10.00","5.00","410.00","2050","968","4840","2790","57.64"
"2022/06/01","631　パスコ店","0699","材料転用","03","ＯＴＣ医薬品類","4987014016707","新バイトゴールド３０００　５０本入","10.00","-1.00","2050.00","-2050","4378","-4378","-2328","53.17"
"2022/06/01","631　パスコ店","0699","材料転用","03","ＯＴＣ医薬品類","4987123144285","アリナミンV＆V","10.00","2.00","583.00","583","1314","1314","731","55.63"
"2022/06/01","631　パスコ店","0699","材料転用","03","ＯＴＣ医薬品類","4987123144292","アリナミンＶ＆ＶＮＥＷ　５０ｍｌ×２本","10.00","-1.00","583.00","-583","1107","-1107","-524","47.34"
"2022/06/01","631　パスコ店","0699","材料転用","03","ＯＴＣ医薬品類","4987306003491","大正製薬リポビタンＤ　１００ｍｌ×１０本","10.00","5.00","756.00","3780","1078","5390","1610","29.87"
"2022/06/01","631　パスコ店","0699","材料転用","03","ＯＴＣ医薬品類","4987306003507","リポビタンＤ　１００ｍｌ　５０本","10.00","-1.00","3780.00","-3780","5478","-5478","-1698","31"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4571432380061","アロマＤｅ　ロ・ション１５０ｍｌ","10.00","4.00","1846.00","7384","4400","17600","10216","58.05"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4571432380078","アロマＤｅ　ジュレ　６０ｍｌ","10.00","5.00","4000.00","20000","8800","44000","24000","54.55"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4571432380085","アロマＤｅミルク１００ｍｌ","10.00","4.00","2200.00","8800","4840","19360","10560","54.55"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4571432380146","ＣＲＹＳＴＡＬパクト 10.5 ｇ","10.00","2.00","1800.00","3600","3300","6600","3000","45.45"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4571432380153","ＣＲＹＳＴＡＬパウダーファンデーション（ナチュラル","10.00","3.00","1800.00","5400","3300","9900","4500","45.45"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4571432380184","ＣＲＹＳＴＡＬパクトケース","10.00","2.00","975.00","1950","1430","2860","910","31.82"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4571432380191","ＣＲＹＳＴＡＬパウダーファンデーションケース","10.00","2.00","975.00","1950","1430","2860","910","31.82"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4571432380221","エッセンス　クレンジング 150 ｍｌ","10.00","4.00","1200.00","4800","2200","8800","4000","45.45"
